episode 0	loss 8.568703	 episode reward -21.0	 number of down act 0.511587982832618	 game_len 1165	
episode 1	loss -2.6076455	 episode reward -21.0	 number of down act 0.6142131979695431	 game_len 1182	
episode 2	loss 11.2455845	 episode reward -20.0	 number of down act 0.5006134969325153	 game_len 1630	
episode 3	loss 7.8390174	 episode reward -18.0	 number of down act 0.5236938031591738	 game_len 1646	
episode 4	loss 7.1242275	 episode reward -21.0	 number of down act 0.45098039215686275	 game_len 1122	
episode 5	loss 10.106178	 episode reward -19.0	 number of down act 0.48227474150664695	 game_len 1354	
episode 6	loss 7.3555865	 episode reward -21.0	 number of down act 0.463081130355515	 game_len 1097	
episode 7	loss 9.308781	 episode reward -20.0	 number of down act 0.4448336252189142	 game_len 1713	
episode 8	loss 7.7131734	 episode reward -21.0	 number of down act 0.4954044117647059	 game_len 1088	
episode 9	loss 8.305838	 episode reward -21.0	 number of down act 0.4897260273972603	 game_len 1168	
episode 10	loss 8.070765	 episode reward -21.0	 number of down act 0.5637755102040817	 game_len 1176	
episode 11	loss 10.332609	 episode reward -20.0	 number of down act 0.5658499234303216	 game_len 1306	
episode 12	loss 1.858613	 episode reward -20.0	 number of down act 0.5659655831739961	 game_len 1569	
episode 13	loss 7.9914885	 episode reward -21.0	 number of down act 0.4677284157585918	 game_len 1193	
episode 14	loss 10.003765	 episode reward -21.0	 number of down act 0.5070721357850071	 game_len 1414	
episode 15	loss 10.699589	 episode reward -21.0	 number of down act 0.49933774834437084	 game_len 1510	
episode 16	loss 8.672998	 episode reward -21.0	 number of down act 0.5318352059925093	 game_len 1335	
episode 17	loss 12.318895	 episode reward -21.0	 number of down act 0.5050685748360167	 game_len 1677	
episode 18	loss 11.753221	 episode reward -20.0	 number of down act 0.5318327974276528	 game_len 1555	
episode 19	loss 5.501344	 episode reward -21.0	 number of down act 0.5545144804088586	 game_len 1174	
episode 20	loss 8.41855	 episode reward -21.0	 number of down act 0.5318471337579618	 game_len 1256	
episode 21	loss 10.777441	 episode reward -21.0	 number of down act 0.5	 game_len 1340	
episode 22	loss 12.732101	 episode reward -21.0	 number of down act 0.5890295358649789	 game_len 1185	
episode 23	loss 8.567241	 episode reward -21.0	 number of down act 0.5911295911295912	 game_len 1443	
episode 24	loss 9.178185	 episode reward -21.0	 number of down act 0.6019108280254777	 game_len 1256	
episode 25	loss 13.156976	 episode reward -20.0	 number of down act 0.5932621199671323	 game_len 1217	
episode 26	loss 23.030079	 episode reward -21.0	 number of down act 0.6329787234042553	 game_len 1316	
episode 27	loss -10.823326	 episode reward -21.0	 number of down act 0.740236148955495	 game_len 1101	
episode 28	loss 8.563484	 episode reward -21.0	 number of down act 0.6327731092436975	 game_len 1190	
episode 29	loss 2.4621637	 episode reward -21.0	 number of down act 0.6272893772893773	 game_len 1092	
episode 30	loss 7.708561	 episode reward -21.0	 number of down act 0.6240808823529411	 game_len 1088	
episode 31	loss 4.1566305	 episode reward -21.0	 number of down act 0.6124314442413162	 game_len 1094	
episode 32	loss 17.807905	 episode reward -21.0	 number of down act 0.5743626062322946	 game_len 1412	
episode 33	loss 19.765491	 episode reward -21.0	 number of down act 0.6357000663570007	 game_len 1507	
episode 34	loss 6.458223	 episode reward -21.0	 number of down act 0.6983546617915904	 game_len 1094	
episode 35	loss 21.064842	 episode reward -21.0	 number of down act 0.7255260750228728	 game_len 1093	
episode 36	loss -0.57396436	 episode reward -21.0	 number of down act 0.7894736842105263	 game_len 1349	
episode 37	loss -28.453175	 episode reward -21.0	 number of down act 0.7526020816653323	 game_len 1249	
episode 38	loss 2.9586077	 episode reward -21.0	 number of down act 0.5893393393393394	 game_len 1332	
episode 39	loss 15.258634	 episode reward -21.0	 number of down act 0.5684348395546824	 game_len 1527	
episode 40	loss 8.304685	 episode reward -21.0	 number of down act 0.6243050039714059	 game_len 1259	
episode 41	loss -9.049434	 episode reward -20.0	 number of down act 0.6173780487804879	 game_len 1312	
episode 42	loss 11.049209	 episode reward -21.0	 number of down act 0.537546468401487	 game_len 1345	
episode 43	loss 5.679082	 episode reward -21.0	 number of down act 0.5441310282074613	 game_len 1099	
episode 44	loss 7.658679	 episode reward -21.0	 number of down act 0.527565733672604	 game_len 1179	
episode 45	loss 12.495741	 episode reward -21.0	 number of down act 0.5026535253980288	 game_len 1319	
episode 46	loss -0.5879878	 episode reward -21.0	 number of down act 0.5638138138138138	 game_len 1332	
episode 47	loss 11.472471	 episode reward -21.0	 number of down act 0.5088	 game_len 1250	
episode 48	loss -0.7289302	 episode reward -21.0	 number of down act 0.5839580209895052	 game_len 1334	
episode 49	loss 9.812347	 episode reward -20.0	 number of down act 0.49963636363636366	 game_len 1375	
episode 50	loss 12.003087	 episode reward -21.0	 number of down act 0.5258426966292135	 game_len 1335	
episode 51	loss 11.122851	 episode reward -20.0	 number of down act 0.5591250854408749	 game_len 1463	
episode 52	loss 4.1711626	 episode reward -19.0	 number of down act 0.5586715867158671	 game_len 1355	
episode 53	loss 8.221351	 episode reward -20.0	 number of down act 0.5328185328185329	 game_len 1295	
episode 54	loss 6.6440096	 episode reward -20.0	 number of down act 0.5196399345335515	 game_len 1222	
episode 55	loss 8.221426	 episode reward -20.0	 number of down act 0.5162337662337663	 game_len 1232	
episode 56	loss 9.035711	 episode reward -21.0	 number of down act 0.5214341387373344	 game_len 1283	
episode 57	loss 9.8928385	 episode reward -21.0	 number of down act 0.5166784953867991	 game_len 1409	
episode 58	loss 10.215943	 episode reward -20.0	 number of down act 0.5143391521197007	 game_len 1604	
episode 59	loss 9.908931	 episode reward -20.0	 number of down act 0.5418106427090532	 game_len 1447	
